"Date","Open","High","Low","Close","% Change","% Change vs Average","Volume","MA ‌ma‌ (50,ma,0)","MA ‌ma‌ (200,ma,0)","All Stops ‌ATR Trailing Stop‌ (21,3,points,n)","RSI ‌rsi‌ (14)"
"Mon Sep 05 2022 13:30:00 GMT+0530 (India Standard Time)","17653.40","17656.00","17647.20","17648.20","-0.04","-0.04","0","17644.90","17590.71","17637.27","48.66"
"Mon Sep 05 2022 13:35:00 GMT+0530 (India Standard Time)","17647.95","17651.30","17641.50","17646.25","-0.01","-0.01","0","17645.93","17591.16","17637.27","47.62"
"Mon Sep 05 2022 13:40:00 GMT+0530 (India Standard Time)","17646.15","17651.35","17630.20","17632.25","-0.08","-0.08","0","17645.94","17591.48","17637.27","40.87"
"Mon Sep 05 2022 13:45:00 GMT+0530 (India Standard Time)","17633.00","17648.25","17629.70","17645.60","0.08","0.08","0","17646.32","17591.68","17672.40","48.38"
"Mon Sep 05 2022 13:50:00 GMT+0530 (India Standard Time)","17645.30","17649.60","17641.65","17642.75","-0.02","-0.02","0","17646.41","17591.75","17672.40","47.01"
"Mon Sep 05 2022 13:55:00 GMT+0530 (India Standard Time)","17643.25","17661.15","17639.20","17655.25","0.07","0.07","0","17647.09","17591.95","17672.40","53.27"
"Mon Sep 05 2022 14:00:00 GMT+0530 (India Standard Time)","17655.65","17664.10","17655.65","17659.45","0.02","0.02","0","17647.53","17592.15","17672.40","55.19"
"Mon Sep 05 2022 14:05:00 GMT+0530 (India Standard Time)","17660.00","17678.70","17660.00","17665.40","0.03","0.03","0","17648.14","17592.42","17672.40","57.83"
"Mon Sep 05 2022 14:10:00 GMT+0530 (India Standard Time)","17666.10","17671.90","17661.35","17669.40","0.02","0.02","0","17648.76","17592.63","17672.40","59.55"
"Mon Sep 05 2022 14:15:00 GMT+0530 (India Standard Time)","17669.15","17669.85","17660.95","17665.80","-0.02","-0.02","0","17649.03","17592.75","17672.40","57.28"
"Mon Sep 05 2022 14:20:00 GMT+0530 (India Standard Time)","17665.90","17666.80","17656.55","17660.80","-0.03","-0.03","0","17649.28","17592.75","17672.40","54.19"
"Mon Sep 05 2022 14:25:00 GMT+0530 (India Standard Time)","17660.85","17674.75","17660.85","17674.10","0.08","0.08","0","17649.92","17592.78","17672.40","60.32"
"Mon Sep 05 2022 14:30:00 GMT+0530 (India Standard Time)","17674.85","17682.95","17674.55","17677.10","0.02","0.02","0","17650.40","17592.73","17634.18","61.57"
"Mon Sep 05 2022 14:35:00 GMT+0530 (India Standard Time)","17677.85","17679.30","17659.30","17659.30","-0.10","-0.10","0","17650.52","17592.59","17637.82","51.26"
"Mon Sep 05 2022 14:40:00 GMT+0530 (India Standard Time)","17659.40","17671.20","17655.85","17670.60","0.06","0.06","0","17650.86","17592.59","17637.82","56.27"
"Mon Sep 05 2022 14:45:00 GMT+0530 (India Standard Time)","17669.95","17670.95","17661.65","17663.75","-0.04","-0.04","0","17651.49","17592.72","17637.82","52.73"
"Mon Sep 05 2022 14:50:00 GMT+0530 (India Standard Time)","17663.20","17668.25","17658.60","17662.55","-0.01","-0.01","0","17651.94","17592.75","17637.82","52.11"
"Mon Sep 05 2022 14:55:00 GMT+0530 (India Standard Time)","17662.10","17672.40","17653.40","17654.00","-0.05","-0.05","0","17652.08","17592.75","17637.82","47.81"
"Mon Sep 05 2022 15:00:00 GMT+0530 (India Standard Time)","17654.45","17678.15","17651.20","17676.75","0.13","0.13","0","17652.79","17592.87","17637.82","57.79"
"Mon Sep 05 2022 15:05:00 GMT+0530 (India Standard Time)","17676.75","17678.60","17665.05","17670.20","-0.04","-0.04","0","17653.66","17592.93","17637.82","54.56"
"Mon Sep 05 2022 15:10:00 GMT+0530 (India Standard Time)","17671.50","17680.15","17667.85","17671.95","0.01","0.01","0","17654.52","17593.07","17637.82","55.28"
"Mon Sep 05 2022 15:15:00 GMT+0530 (India Standard Time)","17671.60","17672.15","17660.10","17666.25","-0.03","-0.03","0","17655.00","17593.21","17637.82","52.37"
"Mon Sep 05 2022 15:20:00 GMT+0530 (India Standard Time)","17666.55","17668.20","17658.00","17659.55","-0.04","-0.04","0","17655.52","17593.27","17637.82","49.09"
"Mon Sep 05 2022 15:25:00 GMT+0530 (India Standard Time)","17659.80","17663.85","17652.30","17653.90","-0.03","-0.03","0","17656.11","17593.26","17637.82","46.46"
"Tue Sep 06 2022 09:15:00 GMT+0530 (India Standard Time)","17695.70","17764.00","17695.70","17736.40","0.47","0.47","0","17658.24","17593.62","17637.82","70.97"
"Tue Sep 06 2022 09:20:00 GMT+0530 (India Standard Time)","17737.10","17747.45","17726.80","17742.95","0.04","0.04","0","17660.60","17594.04","17681.85","72.07"
"Tue Sep 06 2022 09:25:00 GMT+0530 (India Standard Time)","17743.35","17744.35","17722.50","17722.50","-0.12","-0.12","0","17662.50","17594.39","17688.05","63.96"
"Tue Sep 06 2022 09:30:00 GMT+0530 (India Standard Time)","17722.15","17726.95","17695.25","17696.85","-0.14","-0.14","0","17663.88","17594.66","17688.05","55.53"
"Tue Sep 06 2022 09:35:00 GMT+0530 (India Standard Time)","17697.95","17717.90","17672.40","17672.80","-0.14","-0.14","0","17664.66","17594.80","17688.05","49.01"
"Tue Sep 06 2022 09:40:00 GMT+0530 (India Standard Time)","17671.50","17687.40","17669.35","17676.40","0.02","0.02","0","17665.35","17595.12","17733.87","49.95"
"Tue Sep 06 2022 09:45:00 GMT+0530 (India Standard Time)","17676.15","17686.30","17659.10","17679.20","0.02","0.02","0","17666.07","17595.55","17733.87","50.72"
"Tue Sep 06 2022 09:50:00 GMT+0530 (India Standard Time)","17676.60","17681.90","17665.65","17667.75","-0.06","-0.06","0","17666.58","17595.94","17733.87","47.51"
"Tue Sep 06 2022 09:55:00 GMT+0530 (India Standard Time)","17667.85","17678.90","17655.40","17678.50","0.06","0.06","0","17667.28","17596.31","17728.87","50.67"
"Tue Sep 06 2022 10:00:00 GMT+0530 (India Standard Time)","17678.60","17678.60","17664.30","17669.05","-0.05","-0.05","0","17667.66","17596.64","17728.87","47.94"
"Tue Sep 06 2022 10:05:00 GMT+0530 (India Standard Time)","17669.40","17671.65","17643.80","17644.20","-0.14","-0.14","0","17667.35","17596.77","17728.87","41.60"
"Tue Sep 06 2022 10:10:00 GMT+0530 (India Standard Time)","17645.90","17650.05","17633.15","17641.15","-0.02","-0.02","0","17666.82","17596.93","17705.96","40.88"
"Tue Sep 06 2022 10:15:00 GMT+0530 (India Standard Time)","17640.45","17642.25","17629.85","17633.05","-0.05","-0.05","0","17666.06","17597.08","17702.39","38.97"
"Tue Sep 06 2022 10:20:00 GMT+0530 (India Standard Time)","17632.90","17632.90","17614.00","17614.60","-0.10","-0.10","0","17665.02","17597.16","17693.14","34.95"
"Tue Sep 06 2022 10:25:00 GMT+0530 (India Standard Time)","17614.80","17614.80","17589.05","17600.60","-0.08","-0.08","0","17663.57","17597.18","17674.55","32.24"
"Tue Sep 06 2022 10:30:00 GMT+0530 (India Standard Time)","17600.60","17612.55","17589.25","17590.70","-0.06","-0.06","0","17661.90","17597.15","17661.38","30.44"
"Tue Sep 06 2022 10:35:00 GMT+0530 (India Standard Time)","17590.10","17609.35","17587.95","17608.30","0.10","0.10","0","17660.63","17597.15","17651.91","37.16"
"Tue Sep 06 2022 10:40:00 GMT+0530 (India Standard Time)","17609.15","17613.25","17595.60","17605.45","-0.02","-0.02","0","17659.18","17597.19","17651.91","36.54"
"Tue Sep 06 2022 10:45:00 GMT+0530 (India Standard Time)","17605.90","17624.00","17603.00","17623.10","0.10","0.10","0","17658.48","17597.33","17651.91","42.86"
"Tue Sep 06 2022 10:50:00 GMT+0530 (India Standard Time)","17623.95","17623.95","17612.55","17618.15","-0.03","-0.03","0","17657.70","17597.59","17651.91","41.60"
"Tue Sep 06 2022 10:55:00 GMT+0530 (India Standard Time)","17619.10","17634.80","17612.85","17633.75","0.09","0.09","0","17657.09","17597.92","17651.91","46.87"
"Tue Sep 06 2022 11:00:00 GMT+0530 (India Standard Time)","17634.45","17636.25","17629.20","17635.50","0.01","0.01","0","17656.65","17598.31","17651.91","47.44"
"Tue Sep 06 2022 11:05:00 GMT+0530 (India Standard Time)","17636.05","17667.70","17636.05","17664.70","0.17","0.17","0","17656.94","17598.87","17651.91","55.96"
