Date,Open,High,Low,Close,% Change,% Change vs Average,Volume,"MA ‌ma‌ (50,ma,0)","MA ‌ma‌ (200,ma,0)","All Stops ‌ATR Trailing Stop‌ (21,3,points,n)",RSI ‌rsi‌ (14),Day,Month,Dt,Year,Time,OpenClose,HighLow
Mon Oct 03 2022 11:05:00 GMT+0530 (India Standard Time),16958.45,16968.4,16952.55,16958.35,0.0,0.0,0,17062.26,16950.81,17036.95,34.58,Mon,Oct,03,2022,11:05:00,-0.0006,-0.0935
Mon Oct 03 2022 11:10:00 GMT+0530 (India Standard Time),16958.95,16981.3,16954.5,16979.8,0.13,0.13,0,17060.1,16950.81,17035.71,43.29,Mon,Oct,03,2022,11:10:00,0.1228,-0.1581
Mon Oct 03 2022 11:15:00 GMT+0530 (India Standard Time),16980.5,17013.6,16980.5,17011.25,0.19,0.19,0,17058.58,16950.91,17035.71,53.14,Mon,Oct,03,2022,11:15:00,0.1808,-0.1949
Mon Oct 03 2022 11:20:00 GMT+0530 (India Standard Time),17013.7,17040.45,17013.25,17040.45,0.17,0.17,0,17057.51,16951.11,17035.71,60.07,Mon,Oct,03,2022,11:20:00,0.157,-0.1599
Mon Oct 03 2022 11:25:00 GMT+0530 (India Standard Time),17039.5,17040.5,17015.7,17023.1,-0.1,-0.1,0,17055.84,16951.28,16961.38,54.87,Mon,Oct,03,2022,11:25:00,-0.0963,-0.1457
Mon Oct 03 2022 11:30:00 GMT+0530 (India Standard Time),17023.25,17053.95,17023.25,17044.7,0.13,0.13,0,17054.65,16951.63,16961.38,59.56,Mon,Oct,03,2022,11:30:00,0.1258,-0.1803
Mon Oct 03 2022 11:35:00 GMT+0530 (India Standard Time),17045.4,17056.55,17033.05,17050.85,0.04,0.04,0,17053.14,16952.09,16965.2,60.81,Mon,Oct,03,2022,11:35:00,0.032,-0.138
Mon Oct 03 2022 11:40:00 GMT+0530 (India Standard Time),17051.05,17058.3,17043.1,17056.25,0.03,0.03,0,17051.59,16952.56,16971.78,61.92,Mon,Oct,03,2022,11:40:00,0.0305,-0.0892
Mon Oct 03 2022 11:45:00 GMT+0530 (India Standard Time),17056.15,17059.75,17032.95,17034.0,-0.13,-0.13,0,17049.47,16952.86,16978.78,55.0,Mon,Oct,03,2022,11:45:00,-0.13,-0.1573
Mon Oct 03 2022 11:50:00 GMT+0530 (India Standard Time),17033.1,17033.6,17019.7,17024.15,-0.06,-0.06,0,17047.21,16953.27,16978.78,52.22,Mon,Oct,03,2022,11:50:00,-0.0526,-0.0817
Mon Oct 03 2022 11:55:00 GMT+0530 (India Standard Time),17024.3,17039.15,17023.75,17034.5,0.06,0.06,0,17045.11,16953.69,16978.78,54.8,Mon,Oct,03,2022,11:55:00,0.0599,-0.0905
Mon Oct 03 2022 12:00:00 GMT+0530 (India Standard Time),17035.1,17036.9,17019.45,17033.1,-0.01,-0.01,0,17042.68,16954.13,16978.78,54.38,Mon,Oct,03,2022,12:00:00,-0.0117,-0.1025
Mon Oct 03 2022 12:05:00 GMT+0530 (India Standard Time),17032.95,17032.95,17022.85,17024.55,-0.05,-0.05,0,17039.92,16954.54,16978.78,51.71,Mon,Oct,03,2022,12:05:00,-0.0493,-0.0593
Mon Oct 03 2022 12:10:00 GMT+0530 (India Standard Time),17024.3,17025.1,17012.0,17015.7,-0.05,-0.05,0,17036.95,16954.88,16978.78,49.04,Mon,Oct,03,2022,12:10:00,-0.0505,-0.077
Mon Oct 03 2022 12:15:00 GMT+0530 (India Standard Time),17016.05,17016.05,16996.05,17006.2,-0.06,-0.06,0,17033.53,16955.18,16978.78,46.27,Mon,Oct,03,2022,12:15:00,-0.0579,-0.1177
Mon Oct 03 2022 12:20:00 GMT+0530 (India Standard Time),17005.9,17008.95,16991.9,17005.35,0.0,0.0,0,17030.22,16955.63,16978.78,46.02,Mon,Oct,03,2022,12:20:00,-0.0032,-0.1003
Mon Oct 03 2022 12:25:00 GMT+0530 (India Standard Time),17005.5,17008.9,16992.65,17007.45,0.01,0.01,0,17027.57,16956.14,16978.78,46.78,Mon,Oct,03,2022,12:25:00,0.0115,-0.0956
Mon Oct 03 2022 12:30:00 GMT+0530 (India Standard Time),17007.55,17008.95,16982.35,16997.6,-0.06,-0.06,0,17024.75,16956.56,16978.78,43.65,Mon,Oct,03,2022,12:30:00,-0.0585,-0.1566
Mon Oct 03 2022 12:35:00 GMT+0530 (India Standard Time),16997.25,17026.65,16990.85,17011.35,0.08,0.08,0,17022.2,16957.15,16978.78,48.8,Mon,Oct,03,2022,12:35:00,0.0829,-0.2107
